Address,Price,Beds,Baths,Receptions,URL
"Amberden Avenue, London, N3 ","£750,000",4,3,1,https://www.century21uk.com/property/140/1300e3bc2b2e04be865434c963ed40e9/
"Academy Gardens,  Kensington, London, W8 ","£1,750,000",1,1,1,https://www.century21uk.com/property/112/c429ec7905466d0322239badc46c7b95/
"Talbot Road, Notting Hill, London, W2 ","£1,600,000",3,2,1,https://www.century21uk.com/property/141/c429ec7905466d0322239badc46c7b95/
"Ennismore Gardens, Knightsbridge, London, SW7 ","£7,250,000",3,3,2,https://www.century21uk.com/property/116/c429ec7905466d0322239badc46c7b95/
"Coombe Lane West, Kingston upon Thames, KT2 ","£1,700,000",3,1,2,https://www.century21uk.com/property/492/7d68a64802da447c2a542594e159e526/
"Highbury Hill, London, N5 ","£685,000",2,2,1,https://www.century21uk.com/property/1016/5102e55d050e2bd0383793b2556063c6/
"Leinster Gardens, Bayswater, London, W2 ","£6,250,000",4,4,1,https://www.century21uk.com/property/139/c429ec7905466d0322239badc46c7b95/
"Queen's Gardens, Bayswater, London, W2 ","£1,950,000",2,2,1,https://www.century21uk.com/property/113/c429ec7905466d0322239badc46c7b95/
"Banyan House, Imperial Wharf, London, SW6 ","£1,050,000",2,2,1,https://www.century21uk.com/property/121/c429ec7905466d0322239badc46c7b95/
"Queen's Gate Gardens, South Kensington, London, SW7 ","£6,250,000",4,3,3,https://www.century21uk.com/property/110/c429ec7905466d0322239badc46c7b95/
"Melbury Road, Holland Park, London, W14 ","£3,050,000",3,3,1,https://www.century21uk.com/property/90/c429ec7905466d0322239badc46c7b95/
"Parliament View Apartments, London, SE1 ","£2,950,000",3,2,1,https://www.century21uk.com/property/30/1300e3bc2b2e04be865434c963ed40e9/
"124 Pentonville Road, London, N1 ","£650,000",2,2,1,https://www.century21uk.com/property/993/5102e55d050e2bd0383793b2556063c6/
"Wymering Mansions, London, W9 ","£850,000",3,1,1,https://www.century21uk.com/property/1030/5102e55d050e2bd0383793b2556063c6/
"Norbroke Street, London, W12 ","£660,000",3,2,2,https://www.century21uk.com/property/4/153274855c3bef4f2159e47adeb93c60/
"Kingsley Road, London, E7 ","£595,000",4,3,1,https://www.century21uk.com/property/696/93babe68b188cb8fbe34b57dc3e6d93d/
"Stile Hall Parade, London, W4 ","£375,000",2,1,1,https://www.century21uk.com/property/139/1300e3bc2b2e04be865434c963ed40e9/
"Chamberlayne Avenue, Harrow, HA9 ","£585,000",3,2,1,https://www.century21uk.com/property/2358856//
"Victoria Avenue, Wembley, HA9 ","£547,500",3,1,2,https://www.century21uk.com/property/2353102//
"Chartley Avenue, Neasden NW2, NW2 ","£650,000",3,2,1,https://www.century21uk.com/property/2279735//
"Breakspear Road North, Wembley Park, HA4 ","£50,000",Studio,,,https://www.century21uk.com/property/2304108//
"Winchester Avenue, Kingsbury, NW9 ","£549,950",3,1,2,https://www.century21uk.com/property/2315934//
"Lonsdale Avenue, Wembley, HA9 ","£495,000",3,1,2,https://www.century21uk.com/property/2310149//
"Daintry Close, Harrow, HA3 ","£390,000",2,1,1,https://www.century21uk.com/property/2304592//
"Loretto Gardens, Harrow, HA3 ","£560,000",3,2,2,https://www.century21uk.com/property/2300668//
"Essoldo Way, Edgware, HA8 ","£479,950",3,2,1,https://www.century21uk.com/property/2286464//
"Erebus Drive, London, SE28 ","£360,000",2,2,1,https://www.century21uk.com/property/288/091eedc485ba5a91347508c8af77e349/
"Palace Street, London, SW1E ","£4,250,000",2,2,1,https://www.century21uk.com/property/143/1300e3bc2b2e04be865434c963ed40e9/
"Tudor House, London, SE1 ","£2,100,000",3,3,1,https://www.century21uk.com/property/23/e56be8c92f8099b9b0d98bfa2ef09b07/
"Claremont Square, London, N1 ","£2,295,000",6,3,3,https://www.century21uk.com/property/644/5102e55d050e2bd0383793b2556063c6/
"Clare Lawn Avenue, London, SW14 ","£2,000,000",6,4,2,https://www.century21uk.com/property/27/1300e3bc2b2e04be865434c963ed40e9/
"Racton Road, London, SW6 ","£1,800,000",5,3,1,https://www.century21uk.com/property/10/1300e3bc2b2e04be865434c963ed40e9/
"Kingsdown Road, London, N19 ",POA,5,4,4,https://www.century21uk.com/property/894/5102e55d050e2bd0383793b2556063c6/
"Battledean Road, London, N5 ","£1,300,000",4,1,2,https://www.century21uk.com/property/1003/5102e55d050e2bd0383793b2556063c6/
"Keybridge House, London, SW8 ","£1,250,000",2,2,1,https://www.century21uk.com/property/217/113edcbba40c8723302988b89a7a7959/
"City Road , London, EC1V ","£1,220,000",2,2,1,https://www.century21uk.com/property/162/1300e3bc2b2e04be865434c963ed40e9/
"The Butts, Brentford, TW8 ","£1,150,000",5,3,1,https://www.century21uk.com/property/87/1300e3bc2b2e04be865434c963ed40e9/
"Heston Road, Hounslow, TW5 ","£1,000,000",6,4,1,https://www.century21uk.com/property/163/113edcbba40c8723302988b89a7a7959/
"Amberden Avenue, London, N3 ","£989,950",4,2,1,https://www.century21uk.com/property/25/0bad55953bfbc5b6763530de63d9c8c1/
"Amberden Avenue, London, N3 ","£989,950",4,3,1,https://www.century21uk.com/property/1004/5102e55d050e2bd0383793b2556063c6/
"Hand Axe Yard, London, WC1X ","£975,000",2,1,1,https://www.century21uk.com/property/933/5102e55d050e2bd0383793b2556063c6/
"Sir Alexander Close, London, W3 ","£950,000",3,3,2,https://www.century21uk.com/property/77/1300e3bc2b2e04be865434c963ed40e9/
"Chiltern Court, London, NW1 ","£925,000",2,2,1,https://www.century21uk.com/property/772/5102e55d050e2bd0383793b2556063c6/
"City Road, London, EC1V ","£925,000",2,2,1,https://www.century21uk.com/property/279/5102e55d050e2bd0383793b2556063c6/
"Flotilla House, London, E16 ","£883,000",2,2,,https://www.century21uk.com/property/107/113edcbba40c8723302988b89a7a7959/
"Copenhagen Street, London, N1 ","£900,000",2,2,1,https://www.century21uk.com/property/1017/5102e55d050e2bd0383793b2556063c6/
"Thorncliffe Road, southall, UB2 ","£860,000",5,2,2,https://www.century21uk.com/property/20/113edcbba40c8723302988b89a7a7959/
