,Address,Price,Beds,Baths,Receptions,URL
0,"Ennismore Gardens, Knightsbridge, London, SW7 ","£7,250,000",3,3,2,https://www.century21uk.com/property/116/c429ec7905466d0322239badc46c7b95/
1,"Highbury Hill, London, N5 ","£685,000",2,2,1,https://www.century21uk.com/property/1016/5102e55d050e2bd0383793b2556063c6/
2,"Talbot Road, Notting Hill, London, W2 ","£1,600,000",3,2,1,https://www.century21uk.com/property/141/c429ec7905466d0322239badc46c7b95/
3,"Academy Gardens, Kensington, London, W8 ","£1,750,000",1,1,1,https://www.century21uk.com/property/112/c429ec7905466d0322239badc46c7b95/
4,"Leinster Gardens, Bayswater, London, W2 ","£6,250,000",4,4,1,https://www.century21uk.com/property/139/c429ec7905466d0322239badc46c7b95/
5,"Queen's Gardens, Bayswater, London, W2 ","£1,950,000",2,2,1,https://www.century21uk.com/property/113/c429ec7905466d0322239badc46c7b95/
6,"Banyan House, Imperial Wharf, London, SW6 ","£1,050,000",2,2,1,https://www.century21uk.com/property/121/c429ec7905466d0322239badc46c7b95/
7,"Queen's Gate Gardens, South Kensington, London, SW7 ","£6,250,000",4,3,3,https://www.century21uk.com/property/110/c429ec7905466d0322239badc46c7b95/
8,"Melbury Road, Holland Park, London, W14 ","£3,050,000",3,3,1,https://www.century21uk.com/property/90/c429ec7905466d0322239badc46c7b95/
9,"Parliament View Apartments, London, SE1 ","£2,950,000",3,2,1,https://www.century21uk.com/property/30/1300e3bc2b2e04be865434c963ed40e9/
10,"124 Pentonville Road, London, N1 ","£650,000",2,2,1,https://www.century21uk.com/property/993/5102e55d050e2bd0383793b2556063c6/
11,"Wymering Mansions, London, W9 ","£850,000",3,1,1,https://www.century21uk.com/property/1030/5102e55d050e2bd0383793b2556063c6/
12,"Norbroke Street, London, W12 ","£660,000",3,2,2,https://www.century21uk.com/property/4/153274855c3bef4f2159e47adeb93c60/
13,"Kingsley Road, London, E7 ","£595,000",4,3,1,https://www.century21uk.com/property/696/93babe68b188cb8fbe34b57dc3e6d93d/
14,"Stile Hall Parade, London, W4 ","£375,000",2,1,1,https://www.century21uk.com/property/139/1300e3bc2b2e04be865434c963ed40e9/
